edi.1.1	doi:10.6073/pasta/a30d5b90676008cfb7987f31b4343a35	OK
edi.2.1	doi:10.6073/pasta/5703e8819c81da0beed4660f467c288e	OK
edi.3.1	doi:10.6073/pasta/bf143fa962e1edb822847bc0ee90c2f7	OK
edi.3.2	doi:10.6073/pasta/7c1011d347bb34226999aae762b01ea4	OK
edi.3.3	doi:10.6073/pasta/b7e51745da6a2b9564b0bc6663bc7e92	OK
edi.3.4	doi:10.6073/pasta/f1307b57ea6910d2068e38bbd073a44e	OK
edi.3.5	doi:10.6073/pasta/166b2ad44cdc75efe73531db9fa479e1	OK
edi.4.1	doi:10.6073/pasta/114f3dea4f0ffc9201907b3b6a28092e	OK
edi.4.2	doi:10.6073/pasta/bdd083bf34d30e0b9f4b4872274617de	OK
edi.4.3	doi:10.6073/pasta/d9c151273053eafae086886702f1d052	OK
edi.4.4	doi:10.6073/pasta/41564f7eae2775ee895ad8b707846489	OK
edi.5.1	doi:10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d	OK
edi.5.2	doi:10.6073/pasta/1345f0148e6dfe4df9065e223b4dd783	OK
edi.5.3	doi:10.6073/pasta/0976f9969ef2789b77b659e9337c4c0c	OK
edi.6.1	doi:10.6073/pasta/51d2db26e90d4b8687db81fb40bc58c4	OK
edi.6.2	doi:10.6073/pasta/54671c1fc2c8a7b2cca508f4bae8f7a1	OK
edi.7.1	doi:10.6073/pasta/d09d4bfd54e6d4e490b4cc34731d808e	OK
edi.7.2	doi:10.6073/pasta/9cfd06952c5266dd5a7691498cc24ce8	OK
edi.7.3	doi:10.6073/pasta/f288c2c81333d540606a1b4fa11328af	OK
edi.8.1	doi:10.6073/pasta/9bc5be1647426f8a467592b3b15ac83c	OK
edi.8.2	doi:10.6073/pasta/455d73d4cb43514e503826211eba4e99	OK
edi.8.3	doi:10.6073/pasta/8d454227262fcac6342604470ef4c0ff	OK
edi.8.4	doi:10.6073/pasta/b473b048846875b721d139416b8fd882	OK
edi.8.5	doi:10.6073/pasta/c560d99864cd7fd303153a11d2ba0ddd	OK
edi.9.1	doi:10.6073/pasta/9ec89d40890e887eba2aa4e62eecae8d	OK
edi.9.2	doi:10.6073/pasta/ecb590741e1dda00b274ab3255879e15	OK
edi.9.3	doi:10.6073/pasta/d563972ac7e6a14a9b34bdad08d18e3a	OK
edi.9.4	doi:10.6073/pasta/1ca9aff9f5d3a703cfa17c468431e371	OK
edi.10.1	doi:10.6073/pasta/d0ccca294ce1d1a30758b948df4a9ea9	OK
edi.10.2	doi:10.6073/pasta/feea0d6b3fcc739d009f804b757ddf9b	OK
edi.12.1	doi:10.6073/pasta/43e9a619cbebb98da0011ada25ad5c12	OK
edi.13.1	doi:10.6073/pasta/0fc00f73f28acd9d7aaabe0c7b63bda5	OK
edi.14.1	doi:10.6073/pasta/f5e0a264aaa7c97a031e480f794f1db4	OK
edi.15.1	doi:10.6073/pasta/210ddb261095a820dea0a4f9eb0a6f4a	OK
edi.15.2	doi:10.6073/pasta/295c94119aed6953a2041717533a9f9d	OK
edi.15.4	doi:10.6073/pasta/0f857ea07543b4ddfcca921f583a2e6e	OK
edi.15.5	doi:10.6073/pasta/91789c93a8930c3091bc5849060ff672	OK
edi.16.1	doi:10.6073/pasta/415724c33d7b46957919125e3ac66c93	OK
edi.16.2	doi:10.6073/pasta/ef4dbad515813be74404a6a87af98f00	OK
edi.17.1	doi:10.6073/pasta/5d2c5ac4d6cb1293a47cfa6ef5c55a01	OK
